,Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,OpenPorchSF,PoolArea,MoSold,YrSold,SalePrice
255,256,60,RL,8738,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,2Story,7,5,1999,1999,Gable,Gd,TA,PConc,Gd,TA,0,975,975,GasA,Ex,Y,SBrkr,1005,1286,2291,2,1,4,1,Gd,8,1,2,429,0,0,2,2006,230000
256,257,60,FV,8791,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,2Story,6,5,2003,2003,Gable,Gd,TA,PConc,Gd,TA,503,361,864,GasA,Ex,Y,SBrkr,864,864,1728,2,1,3,1,Gd,7,0,2,673,56,0,5,2008,207500
257,258,20,RL,8814,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,7,5,2006,2006,Gable,Gd,TA,PConc,Gd,TA,1334,270,1604,GasA,Ex,Y,SBrkr,1604,0,1604,2,1,3,1,Gd,8,1,2,660,110,0,3,2009,220000
258,259,60,RL,12435,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,7,5,2001,2001,Gable,Gd,TA,PConc,Gd,TA,361,602,963,GasA,Ex,Y,SBrkr,963,829,1792,2,1,3,1,Gd,7,1,2,564,96,0,5,2008,231500
259,260,20,RM,12702,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,5,1956,1956,Gable,TA,TA,PConc,,,0,0,0,GasA,Gd,Y,FuseA,882,0,882,1,0,2,1,TA,4,0,1,308,45,0,12,2008,97000
260,261,80,RL,19296,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,SLvl,6,5,1962,1962,Gable,TA,TA,CBlock,TA,TA,672,0,1362,GasA,TA,Y,SBrkr,1382,0,1382,1,0,3,1,TA,6,1,2,884,0,0,5,2009,176000
261,262,60,RL,9588,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,2Story,8,5,2007,2007,Gable,Gd,TA,PConc,Ex,TA,0,1482,1482,GasA,Ex,Y,SBrkr,1482,1092,2574,2,1,3,1,Ex,10,1,3,868,148,0,11,2007,276000
262,263,80,RL,8471,Pave,IR1,Lvl,AllPub,Corner,Gtl,1Fam,SLvl,6,7,1977,1995,Gable,TA,TA,CBlock,Gd,Gd,506,0,506,GasA,TA,Y,SBrkr,1212,0,1212,1,0,3,1,TA,6,1,2,492,12,0,7,2006,151000
263,264,50,RM,5500,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1.5Fin,5,7,1929,2001,Gable,TA,TA,BrkTil,TA,TA,234,0,926,GasA,TA,Y,SBrkr,926,0,1316,1,0,3,1,TA,6,0,2,484,0,0,4,2010,130000
264,265,30,RM,5232,Pave,IR3,Bnk,AllPub,Inside,Gtl,1Fam,1Story,5,5,1925,2004,Gable,TA,TA,BrkTil,Fa,TA,0,680,680,GasA,Gd,N,FuseP,764,0,764,1,0,2,1,TA,4,0,2,504,0,0,6,2008,73000
265,266,20,RL,12090,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,6,6,1981,1981,Gable,TA,Gd,CBlock,Gd,TA,588,606,1422,GasA,TA,Y,SBrkr,1422,0,1422,2,0,3,1,Gd,7,1,2,576,0,0,6,2008,175500
266,267,60,RL,11207,Pave,IR1,HLS,AllPub,FR2,Gtl,1Fam,2Story,6,5,1997,1997,Gable,TA,TA,PConc,Gd,TA,714,88,802,GasA,Gd,Y,SBrkr,802,709,1511,2,1,3,1,TA,8,1,2,413,75,0,6,2006,185000
267,268,75,RL,8400,Pave,Reg,Bnk,AllPub,Inside,Mod,1Fam,2.5Fin,5,8,1939,1997,Gable,TA,TA,PConc,TA,TA,378,342,720,GasA,Ex,Y,SBrkr,1052,720,2192,2,1,4,1,Gd,8,1,1,240,24,0,7,2008,179500
268,269,30,RM,6900,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,6,1940,1955,Gable,TA,TA,CBlock,TA,TA,403,212,740,GasA,Ex,Y,SBrkr,778,0,778,1,0,2,1,TA,4,1,1,924,25,0,2,2008,120500
269,270,20,RL,7917,Pave,IR1,Lvl,AllPub,Corner,Gtl,1Fam,1Story,6,7,1976,1976,Hip,TA,Gd,CBlock,TA,Gd,751,392,1143,GasA,TA,Y,SBrkr,1113,0,1113,1,1,3,1,TA,6,1,1,504,30,0,5,2007,148000
270,271,60,FV,10728,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,8,5,2006,2006,Gable,Gd,TA,PConc,Gd,TA,0,1095,1095,GasA,Gd,Y,SBrkr,1095,844,1939,2,1,3,1,Gd,8,1,3,1053,51,0,8,2006,266000
271,272,20,RL,39104,Pave,IR1,Low,AllPub,CulDSac,Sev,1Fam,1Story,7,7,1954,2005,Flat,TA,TA,CBlock,Gd,TA,226,96,1385,GasA,Ex,Y,SBrkr,1363,0,1363,1,0,2,1,TA,5,2,2,439,0,0,4,2008,241500
272,273,60,RL,11764,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,2Story,8,7,1999,2007,Gable,Gd,TA,PConc,Gd,TA,524,628,1152,GasA,Ex,Y,SBrkr,1164,1106,2270,2,1,4,1,Gd,9,1,3,671,57,0,4,2010,290000
273,274,20,RL,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,6,6,1958,1988,Hip,TA,TA,CBlock,TA,TA,620,0,1240,GasA,Gd,Y,SBrkr,1632,0,1632,2,0,3,1,TA,6,1,1,338,0,0,4,2009,139000
274,275,20,RL,8314,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1Story,5,7,1982,1982,Gable,TA,TA,CBlock,TA,TA,546,270,816,GasA,TA,Y,SBrkr,816,0,816,1,0,2,1,TA,5,0,1,264,0,0,6,2007,124500
275,276,50,RL,7264,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1.5Fin,7,7,1925,2007,Gable,Gd,Gd,BrkTil,TA,TA,0,952,952,GasW,Gd,N,SBrkr,952,596,1548,2,1,3,1,Ex,5,0,2,672,0,0,10,2009,205000
276,277,20,RL,9196,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,7,5,2003,2003,Gable,Gd,TA,PConc,Ex,TA,0,1560,1560,GasA,Ex,Y,SBrkr,1560,0,1560,2,0,3,1,Gd,7,0,2,573,150,0,4,2010,201000
277,278,20,RL,19138,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1Story,4,5,1951,1951,Gable,TA,TA,CBlock,TA,TA,120,744,864,GasA,Ex,Y,SBrkr,864,0,864,1,0,2,1,TA,4,0,2,400,0,0,6,2010,141000
278,279,20,RL,14450,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,9,5,2006,2007,Gable,Ex,TA,PConc,Ex,TA,0,2121,2121,GasA,Ex,Y,SBrkr,2121,0,2121,2,1,3,1,Ex,8,1,3,732,98,0,5,2007,415298
279,280,60,RL,10005,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,7,5,1977,1977,Hip,TA,TA,CBlock,Gd,TA,392,768,1160,GasA,Ex,Y,SBrkr,1156,866,2022,2,1,4,1,TA,8,1,2,505,117,0,3,2008,192000
280,281,60,RL,11287,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,7,6,1989,1989,Gable,Gd,TA,CBlock,Gd,TA,421,386,807,GasA,Gd,Y,SBrkr,1175,807,1982,2,1,3,1,Gd,7,1,2,575,84,0,1,2007,228500
281,282,20,FV,7200,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,6,5,2006,2006,Gable,Gd,TA,PConc,Gd,TA,905,357,1262,GasA,Gd,Y,SBrkr,1262,0,1262,2,0,2,1,Gd,5,0,2,572,120,0,5,2006,185000
282,283,120,RL,5063,Pave,Reg,Lvl,AllPub,Inside,Gtl,Twnhs,1Story,7,5,2007,2008,Gable,Gd,TA,PConc,Gd,TA,904,410,1314,GasA,Ex,Y,SBrkr,1314,0,1314,2,0,2,1,Gd,6,1,2,626,62,0,4,2009,207500
283,284,20,RL,9612,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,8,5,2008,2009,Gable,Gd,TA,PConc,Gd,TA,0,1468,1468,GasA,Ex,Y,SBrkr,1468,0,1468,2,0,3,1,Gd,6,1,3,898,150,0,12,2009,244600
284,285,120,RL,8012,Pave,Reg,Lvl,AllPub,Inside,Gtl,TwnhsE,1Story,6,5,1992,1992,Gable,Gd,TA,PConc,Gd,TA,430,1145,1575,GasA,Gd,Y,SBrkr,1575,0,1575,2,0,2,1,Gd,5,0,2,529,0,0,7,2007,179200
285,286,160,FV,4251,Pave,IR1,Lvl,AllPub,Inside,Gtl,TwnhsE,2Story,7,5,2006,2007,Gable,Gd,TA,PConc,Gd,TA,0,625,625,GasA,Ex,Y,SBrkr,625,625,1250,2,1,2,1,Gd,5,0,2,528,54,0,6,2007,164700
286,287,50,RL,9786,Pave,IR1,Bnk,AllPub,Inside,Gtl,1Fam,1.5Fin,6,7,1962,1981,Gable,TA,TA,CBlock,TA,TA,600,312,912,GasA,TA,Y,SBrkr,1085,649,1734,1,1,3,1,Gd,7,1,2,440,0,0,6,2006,159000
287,288,20,RL,8125,Pave,IR1,Lvl,AllPub,Corner,Gtl,1Fam,1Story,4,4,1971,1971,Gable,TA,TA,CBlock,TA,TA,614,244,858,GasA,TA,Y,SBrkr,858,0,858,1,0,3,1,TA,5,0,0,0,0,0,6,2006,88000
288,289,20,RL,9819,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,5,1967,1967,Gable,TA,Gd,CBlock,TA,TA,450,432,882,GasA,TA,Y,SBrkr,900,0,900,1,0,3,1,TA,5,0,1,280,0,0,2,2010,122000
289,290,70,RL,8730,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,6,7,1915,2003,Gable,TA,TA,BrkTil,TA,TA,0,698,698,GasA,Ex,Y,FuseA,698,698,1396,1,0,3,1,TA,7,0,1,384,0,0,7,2007,153575
290,291,60,RL,15611,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,8,5,2006,2006,Gable,Gd,TA,PConc,Gd,TA,0,1079,1079,GasA,Ex,Y,SBrkr,1079,840,1919,2,1,3,1,Gd,8,1,2,685,51,0,7,2006,233230
291,292,190,RL,5687,Pave,Reg,Bnk,AllPub,Inside,Gtl,2fmCon,2Story,5,6,1912,2000,Gable,TA,Fa,PConc,TA,Fa,210,570,780,GasA,Ex,N,SBrkr,936,780,1716,2,0,6,1,Fa,9,0,0,0,184,0,3,2008,135900
292,293,50,RL,11409,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1.5Fin,5,4,1949,2008,Gable,TA,TA,CBlock,TA,TA,292,476,768,GasA,Gd,Y,SBrkr,1148,568,1716,1,1,3,1,TA,8,1,1,281,0,0,1,2009,131000
293,294,60,RL,16659,Pave,IR1,Lvl,AllPub,Corner,Gtl,1Fam,2Story,7,7,1977,1994,Gable,TA,TA,CBlock,TA,TA,795,0,795,GasA,Fa,Y,SBrkr,1468,795,2263,2,1,3,1,Gd,9,1,2,539,250,0,3,2006,235000
294,295,20,RL,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,6,5,1953,1953,Hip,TA,TA,CBlock,TA,TA,1285,131,1416,GasA,TA,Y,SBrkr,1644,0,1644,1,0,3,1,TA,7,2,2,418,0,0,10,2009,167000
295,296,80,RL,7937,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,SLvl,6,6,1984,1984,Gable,TA,TA,CBlock,TA,TA,819,184,1003,GasA,TA,Y,SBrkr,1003,0,1003,1,0,3,1,TA,6,0,2,588,0,0,3,2006,142500
296,297,50,RM,13710,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1.5Fin,5,5,1950,1950,Gable,TA,TA,CBlock,TA,TA,420,490,910,GasA,TA,Y,FuseA,910,648,1558,1,1,4,1,TA,6,0,1,282,0,0,6,2007,152000
297,298,60,FV,7399,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,2Story,7,5,1997,1998,Hip,Gd,TA,PConc,Gd,TA,649,326,975,GasA,Ex,Y,SBrkr,975,975,1950,2,1,3,1,Gd,7,1,2,576,10,0,6,2007,239000
298,299,60,RL,11700,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,6,6,1968,1968,Mansard,Gd,TA,CBlock,TA,TA,384,143,702,GasA,Gd,Y,SBrkr,1041,702,1743,1,2,3,1,TA,7,1,2,539,0,0,6,2007,175000
299,300,20,RL,14000,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,6,8,1950,2004,Gable,TA,Gd,CBlock,TA,TA,0,1092,1092,GasA,Ex,Y,SBrkr,1152,0,1152,1,0,3,1,Gd,6,1,1,300,36,0,8,2009,158500
300,301,190,RL,15750,Pave,Reg,Lvl,AllPub,Corner,Gtl,2fmCon,1Story,5,5,1953,1953,Hip,TA,TA,CBlock,TA,TA,841,324,1165,GasA,TA,Y,SBrkr,1336,0,1336,1,0,2,1,TA,5,2,1,375,0,0,6,2006,157000
301,302,60,RL,16226,Pave,IR3,Lvl,AllPub,Inside,Gtl,1Fam,2Story,8,5,1998,1999,Gable,Gd,TA,PConc,Gd,TA,281,747,1028,GasA,Ex,Y,SBrkr,1210,1242,2452,2,1,4,1,Gd,9,1,2,683,50,0,5,2007,267000
302,303,20,RL,13704,Pave,IR1,Lvl,AllPub,Corner,Gtl,1Fam,1Story,7,5,2001,2002,Gable,Gd,TA,PConc,Gd,TA,0,1541,1541,GasA,Ex,Y,SBrkr,1541,0,1541,2,0,3,1,Gd,6,1,3,843,81,0,1,2006,205000
303,304,20,RL,9800,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1Story,5,7,1972,1972,Gable,TA,TA,PConc,TA,TA,894,0,894,GasA,TA,Y,SBrkr,894,0,894,1,0,3,1,TA,5,0,2,552,0,0,7,2006,149900
304,305,75,RM,18386,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2.5Fin,7,9,1880,2002,Gable,TA,TA,BrkTil,TA,TA,0,1470,1470,GasA,Ex,Y,SBrkr,1675,1818,3493,3,0,3,1,Gd,10,1,3,870,0,0,5,2008,295000
305,306,20,RL,10386,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,8,5,2004,2005,Gable,Gd,TA,PConc,Gd,TA,1464,536,2000,GasA,Ex,Y,SBrkr,2000,0,2000,2,0,3,1,Gd,8,0,3,888,0,0,7,2007,305900
306,307,60,RL,13474,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,7,5,1990,1991,Gable,Gd,TA,CBlock,Gd,TA,700,0,700,GasA,Gd,Y,SBrkr,1122,1121,2243,2,1,4,1,Gd,8,1,3,746,44,0,6,2007,225000
307,308,50,RM,7920,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1.5Fin,6,7,1920,1950,Gable,TA,Fa,CBlock,TA,TA,0,319,319,GasA,TA,Y,FuseA,1035,371,1406,1,0,3,1,Fa,6,0,0,0,144,0,3,2008,89500
308,309,30,RL,12342,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,4,5,1940,1950,Gable,TA,TA,CBlock,TA,TA,262,599,861,GasA,Ex,Y,SBrkr,861,0,861,1,0,1,1,TA,4,0,2,539,0,0,3,2009,82500
309,310,20,RL,12378,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,9,5,2003,2004,Gable,Gd,TA,PConc,Ex,TA,1274,622,1896,GasA,Ex,Y,SBrkr,1944,0,1944,2,0,3,1,Ex,8,3,3,708,175,0,11,2006,360000
310,311,60,RL,7685,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,2Story,6,5,1993,1994,Gable,TA,TA,PConc,Gd,TA,518,179,697,GasA,Gd,Y,SBrkr,697,804,1501,2,1,3,1,Gd,6,1,2,420,63,0,5,2006,165600
311,312,20,RL,8000,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,6,6,1948,2002,Gable,TA,Gd,CBlock,TA,TA,680,292,972,GasA,Ex,Y,SBrkr,972,0,972,1,0,2,1,TA,5,1,1,240,0,0,5,2009,132000
312,313,190,RM,7800,Pave,Reg,Lvl,AllPub,Inside,Gtl,2fmCon,1.5Fin,5,7,1939,1950,Gable,TA,TA,CBlock,Gd,TA,507,286,793,GasA,TA,Y,SBrkr,793,325,1118,1,0,3,1,TA,5,1,2,410,0,0,5,2006,119900
313,314,20,RL,215245,Pave,IR3,Low,AllPub,Inside,Sev,1Fam,1Story,7,5,1965,1965,Hip,TA,TA,CBlock,Gd,TA,1236,80,2136,GasW,TA,Y,SBrkr,2036,0,2036,2,0,3,1,TA,8,2,2,513,0,0,6,2009,375000
314,315,70,RM,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,7,7,1925,1990,Gable,TA,TA,BrkTil,TA,Gd,16,712,728,GasA,Ex,Y,SBrkr,832,809,1641,1,1,3,1,Ex,6,1,2,546,0,0,8,2006,178000
315,316,60,RL,7795,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,2Story,7,5,2004,2005,Gable,Gd,TA,PConc,Gd,TA,425,291,716,GasA,Ex,Y,SBrkr,716,716,1432,2,1,3,1,Gd,6,1,2,432,51,0,7,2009,188500
316,317,60,RL,13005,Pave,IR1,Lvl,AllPub,Corner,Gtl,1Fam,2Story,7,7,1980,1980,Gable,Gd,TA,CBlock,Gd,TA,692,153,845,GasA,TA,Y,SBrkr,1153,1200,2353,2,1,4,1,Ex,10,1,2,484,195,0,8,2009,260000
317,318,60,FV,9000,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,8,5,2006,2006,Gable,Gd,TA,PConc,Gd,TA,0,1088,1088,GasA,Ex,Y,SBrkr,1088,871,1959,2,1,3,1,Gd,8,1,3,1025,46,0,12,2007,270000
318,319,60,RL,9900,Pave,Reg,Low,AllPub,Inside,Mod,1Fam,2Story,7,5,1993,1993,Gable,Gd,TA,PConc,Gd,TA,987,360,1347,GasA,Ex,Y,SBrkr,1372,1274,2646,2,1,4,1,Gd,9,1,3,656,60,0,4,2009,260000
319,320,80,RL,14115,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,SLvl,7,5,1980,1980,Gable,TA,TA,CBlock,Gd,TA,1036,336,1372,GasA,TA,Y,SBrkr,1472,0,1472,2,0,3,1,TA,6,2,2,588,48,0,6,2009,187500
320,321,60,RL,16259,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,2Story,9,5,2006,2006,Gable,TA,TA,PConc,Ex,Gd,0,1249,1249,GasA,Ex,Y,SBrkr,1249,1347,2596,3,1,4,1,Gd,9,0,3,840,154,0,9,2006,342643
321,322,60,RL,12099,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,2Story,8,5,2004,2004,Gable,Gd,TA,PConc,Ex,TA,970,166,1136,GasA,Ex,Y,SBrkr,1136,1332,2468,2,1,4,1,Gd,10,1,3,872,154,0,6,2007,354000
322,323,60,RL,10380,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,2Story,7,5,1986,1987,Gable,Gd,TA,CBlock,TA,TA,28,0,1502,GasA,Ex,Y,SBrkr,1553,1177,2730,2,1,4,1,Gd,8,1,2,576,96,0,8,2007,301000
323,324,20,RM,5820,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,3,8,1955,2005,Gable,TA,Gd,CBlock,TA,TA,256,906,1162,GasA,Ex,Y,SBrkr,1163,0,1163,1,0,3,1,TA,6,0,1,220,98,0,7,2006,126175
324,325,80,RL,11275,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,SLvl,7,7,1967,2007,Mansard,Gd,Gd,CBlock,Gd,TA,0,710,710,GasA,Ex,Y,SBrkr,1898,1080,2978,2,1,5,1,Gd,11,1,2,564,0,0,6,2010,242000
325,326,45,RM,5000,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1.5Unf,5,6,1941,1950,Gable,TA,TA,CBlock,TA,TA,116,604,720,GasA,Po,N,FuseF,803,0,803,1,0,2,1,TA,5,0,2,360,0,0,12,2007,87000
326,327,120,RL,10846,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,TwnhsE,1Story,8,5,1993,1993,Gable,Gd,TA,PConc,Gd,TA,1619,100,1719,GasA,Ex,Y,SBrkr,1719,0,1719,1,1,1,1,Gd,6,2,2,473,30,0,5,2008,324000
327,328,20,RL,11600,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,6,5,1960,1960,Hip,TA,TA,CBlock,TA,TA,565,818,1383,GasA,TA,Y,SBrkr,1383,0,1383,1,1,3,1,TA,7,0,1,292,45,0,4,2006,145250
328,329,75,RL,11888,Pave,IR1,Bnk,AllPub,Inside,Gtl,1Fam,2.5Unf,6,6,1916,1994,Gable,TA,TA,BrkTil,TA,TA,0,844,844,GasA,Gd,N,FuseA,1445,689,2134,2,0,5,1,Gd,10,0,2,441,60,0,7,2009,214500
329,330,70,RM,6402,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,2Story,5,5,1920,1950,Gable,TA,TA,PConc,TA,TA,0,596,596,GasA,TA,N,SBrkr,596,596,1192,1,0,3,1,TA,6,0,1,189,0,0,7,2009,78000
330,331,90,RL,10624,Pave,IR1,Lvl,AllPub,Inside,Gtl,Duplex,1Story,5,4,1964,1964,Gable,TA,TA,CBlock,TA,TA,40,1424,1728,GasA,TA,Y,SBrkr,1728,0,1728,2,0,6,2,TA,10,0,1,352,0,0,11,2007,119000
331,332,20,RL,8176,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,6,1958,1992,Gable,TA,TA,CBlock,TA,TA,846,210,1056,GasA,Fa,Y,SBrkr,1056,0,1056,1,0,3,1,TA,6,0,1,308,0,0,8,2007,139000
332,333,20,RL,10655,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,8,5,2003,2004,Gable,Gd,TA,PConc,Gd,TA,1124,1603,3206,GasA,Ex,Y,SBrkr,1629,0,1629,2,0,3,1,Gd,7,1,3,880,0,0,10,2009,284000
333,334,120,RM,8198,Pave,Reg,Lvl,AllPub,FR3,Gtl,TwnhsE,1Story,7,5,2004,2004,Gable,Gd,TA,PConc,Gd,TA,720,638,1358,GasA,Ex,Y,SBrkr,1358,0,1358,2,0,2,1,Gd,6,1,2,484,30,0,7,2008,207000
334,335,60,RL,9042,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,2Story,6,5,1998,1998,Gable,TA,TA,PConc,Gd,TA,828,115,943,GasA,Gd,Y,SBrkr,943,695,1638,2,1,3,1,TA,7,2,2,472,38,0,7,2008,192000
335,336,190,RL,164660,Grvl,IR1,HLS,AllPub,Corner,Sev,2fmCon,1.5Fin,5,6,1965,1965,Gable,TA,TA,CBlock,TA,TA,1249,103,1499,GasA,Ex,Y,SBrkr,1619,167,1786,2,0,3,1,TA,7,2,2,529,0,0,8,2008,228950
336,337,20,RL,14157,Pave,IR1,HLS,AllPub,Corner,Gtl,1Fam,1Story,9,5,2005,2006,Hip,Gd,TA,PConc,Ex,TA,1249,673,1922,GasA,Ex,Y,SBrkr,1922,0,1922,2,0,3,1,Gd,8,1,3,676,51,0,7,2007,377426
337,338,20,RL,9135,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,7,5,2002,2003,Gable,Gd,TA,PConc,Gd,TA,810,726,1536,GasA,Ex,Y,SBrkr,1536,0,1536,2,0,3,1,Gd,7,0,2,532,74,0,12,2008,214000
338,339,20,RL,14145,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1Story,7,7,1984,1998,Gable,Gd,TA,CBlock,Gd,TA,213,995,1208,GasA,Ex,Y,SBrkr,1621,0,1621,2,0,3,1,Gd,8,0,2,440,45,0,5,2006,202500
339,340,20,RL,12400,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,6,7,1958,1998,Hip,TA,TA,CBlock,TA,Fa,585,630,1215,GasA,TA,Y,FuseA,1215,0,1215,1,0,3,1,TA,6,0,1,297,0,0,6,2009,155000
340,341,60,RL,14191,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,8,5,2002,2002,Gable,Gd,TA,PConc,Gd,TA,0,967,967,GasA,Ex,Y,SBrkr,993,915,1908,2,1,4,1,Gd,9,0,2,431,0,0,4,2010,202900
341,342,20,RH,8400,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,4,4,1950,1950,Gable,Fa,Fa,CBlock,TA,Fa,0,721,721,GasA,Gd,Y,SBrkr,841,0,841,1,0,2,1,TA,4,0,1,294,0,0,9,2009,82000
342,343,90,RL,8544,Pave,Reg,Lvl,AllPub,Inside,Gtl,Duplex,1Story,3,4,1949,1950,Gable,TA,TA,Slab,,,0,0,0,Wall,Fa,N,FuseA,1040,0,1040,2,0,2,2,TA,6,0,2,400,0,0,5,2006,87500
343,344,120,RL,8849,Pave,IR1,Lvl,AllPub,Inside,Gtl,TwnhsE,1Story,9,5,2005,2005,Hip,Ex,TA,PConc,Ex,TA,28,1656,1684,GasA,Ex,Y,SBrkr,1684,0,1684,2,0,2,1,Ex,6,1,2,564,72,0,7,2008,266000
344,345,160,RM,2592,Pave,Reg,Lvl,AllPub,Inside,Gtl,TwnhsE,2Story,5,3,1976,1976,Gable,TA,TA,CBlock,Gd,TA,129,175,536,GasA,TA,Y,SBrkr,536,576,1112,1,1,3,1,TA,4,0,1,336,0,0,4,2010,85000
345,346,50,RL,6435,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1.5Fin,6,5,1939,1950,Gable,TA,TA,BrkTil,TA,TA,0,972,972,GasA,Gd,Y,SBrkr,972,605,1577,1,0,3,1,Fa,6,1,1,312,0,0,10,2006,140200
346,347,20,RL,12772,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,1Story,6,8,1960,1998,Hip,TA,Gd,CBlock,TA,TA,498,460,958,GasA,TA,Y,SBrkr,958,0,958,1,0,2,1,TA,5,0,1,301,0,0,4,2007,151500
347,348,20,RL,17600,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,6,5,1960,1960,Gable,TA,TA,CBlock,TA,TA,1270,208,1478,GasA,Ex,Y,FuseA,1478,0,1478,2,0,3,1,TA,6,2,2,498,40,0,12,2009,157500
348,349,160,RL,2448,Pave,Reg,Lvl,AllPub,Inside,Gtl,Twnhs,2Story,7,5,2003,2004,Gable,Gd,TA,PConc,Gd,TA,573,191,764,GasA,Ex,Y,SBrkr,764,862,1626,2,1,2,1,Gd,6,0,2,474,27,0,10,2008,154000
349,350,60,RL,20431,Pave,IR2,Lvl,AllPub,Inside,Gtl,1Fam,2Story,9,5,2005,2006,Hip,Ex,TA,PConc,Ex,TA,1410,438,1848,GasA,Ex,Y,SBrkr,1848,880,2728,2,1,4,1,Ex,10,2,3,706,0,0,4,2006,437154
